ID,group1,group2,batch
HF1344_U133P2,CGGA475,CGGA475,3
HF1345_U133P2,CGGA475,CGGA475,3
HF1366_U133P2,CGGA475,CGGA475,3
HF1380_U133P2,CGGA475,CGGA475,3
HF1381_U133P2,CGGA475,CGGA475,3
HF1407_U133P2,CGGA475,CGGA475,3
HF1442_U133P2,CGGA475,CGGA475,3
HF1489_U133P2,CGGA475,CGGA475,3
HF1511_U133P2,CGGA475,CGGA475,3
HF1551_U133P2,CGGA475,CGGA475,3
HF1568_U133P2,CGGA475,CGGA475,3
HF1588_U133P2,CGGA475,CGGA475,3
HF1606_U133P2,CGGA475,CGGA475,3
HF1677_U133P2,CGGA475,CGGA475,3
HF1708_U133P2,CGGA475,CGGA475,3
E09358_U133P2,CGGA475,CGGA475,3
E09440_U133P2,CGGA475,CGGA475,3
E09688_U133P2,CGGA475,CGGA475,3
HF0183_U133P2,CGGA475,CGGA475,3
X03436958_U133P2,CGGA475,CGGA475,3
X03465304_U133P2,CGGA475,CGGA475,3
X03471616_U133P2,CGGA475,CGGA475,3
E09503_U133P2,CGGA475,CGGA475,3
E09661_U133P2,CGGA475,CGGA475,3
E09699_U133P2,CGGA475,CGGA475,3
E09755_U133P2,CGGA475,CGGA475,3
E09804_U133P2,CGGA475,CGGA475,3
E09860_U133P2,CGGA475,CGGA475,3
E09867_U133P2,CGGA475,CGGA475,3
E09890_U133P2,CGGA475,CGGA475,3
E09937_U133P2,CGGA475,CGGA475,3
E09949_U133P2,CGGA475,CGGA475,3
E10011_U133P2,CGGA475,CGGA475,3
E10021_U133P2,CGGA475,CGGA475,3
E10054_U133P2,CGGA475,CGGA475,3
HF0218_U133P2,CGGA475,CGGA475,3
HF0285_U133P2,CGGA475,CGGA475,3
HF0291_U133P2,CGGA475,CGGA475,3
HF0327_U133P2,CGGA475,CGGA475,3
HF0510_U133P2,CGGA475,CGGA475,3
HF0599_U133P2,CGGA475,CGGA475,3
HF0835_U133P2,CGGA475,CGGA475,3
HF0897_U133P2,CGGA475,CGGA475,3
HF0920_U133P2,CGGA475,CGGA475,3
HF0960_U133P2,CGGA475,CGGA475,3
HF0962_U133P2,CGGA475,CGGA475,3
HF1167_U133P2,CGGA475,CGGA475,3
